,Unnamed: 0,State,DentalPlan,PlanID_2015,IssuerID_2015,MultistatePlan_2015,MetalLevel_2015,ChildAdultOnly_2015,FIPSCode,ZipCode,CrosswalkLevel,ReasonForCrosswalk,PlanID_2016,IssuerID_2016,MultistatePlan_2016,MetalLevel_2016,ChildAdultOnly_2016,AgeOffPlanID_2016,IssuerID_AgeOff2016,MultistatePlan_AgeOff2016,MetalLevel_AgeOff2016,ChildAdultOnly_AgeOff2016,PlanID_2014,IssuerID_2014,MultistatePlan_2014,MetalLevel_2014,ChildAdultOnly_2014,AgeOffPlanID_2015,IssuerID_AgeOff2015,MultistatePlan_AgeOff2015,MetalLevel_AgeOff2015,ChildAdultOnly_AgeOff2015
85455,85455,PA,N,53789PA0100004,53789,N,Catastrophic,0,42057,0,0,0,53789PA0100004,53789.0,N,Catastrophic,0,53789PA0100008,53789.0,N,Bronze,0,,,,,,,,,,
75448,75448,NE,Y,45550NE0100001,45550,N,High,0,31169,0,0,0,45550NE0100001,45550.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
152591,2586,AL,Y,82285AL0010001,82285,N,Low,1,1103,0,0,0,,,,,,,,,,,82285AL0010001,82285.0,N,Low,1.0,82285AL0010006,82285.0,,Low,0
244469,94464,TN,N,14002TN0330001,14002,N,Silver,0,47177,0,0,0,,,,,,,,,,,14002TN0330001,14002.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
243524,93519,TN,N,14002TN0230002,14002,Y,Silver,0,47135,0,0,0,,,,,,,,,,,14002TN0230002,14002.0,Y,Silver,0.0,00000XX0000000,0.0,X,X,X
26609,26609,TN,Y,22384TN0010003,22384,N,Low,0,47141,0,0,0,22384TN0010003,22384.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
4717,4717,OK,Y,12513OK0020001,12513,N,High,0,40033,0,0,0,12513OK0020001,12513.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
72305,72305,GA,N,43802GA0040008,43802,N,Bronze,0,13073,0,0,0,43802GA0040008,43802.0,N,Bronze,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
116129,116129,NM,N,75605NM0350001,75605,Y,Gold,0,35031,0,4,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
22983,22983,IL,N,20129IL0300015,20129,N,Bronze,0,17025,0,1,2,20129IL0300013,20129.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
80558,80558,GA,N,49046GA0410014,49046,N,Catastrophic,0,13163,0,0,0,49046GA0410014,49046.0,N,Catastrophic,0,49046GA0410022,49046.0,N,Bronze,0,,,,,,,,,,
239540,89535,SD,Y,25868SD0010004,25868,N,High,0,46137,0,1,1,,,,,,,,,,,25868SD0010002,25868.0,N,High,1.0,25868SD0010004,25868.0,,High,0
232558,82553,PA,N,16322PA0040009,16322,N,Gold,0,42007,0,2,6,,,,,,,,,,,16481PA0050010,16481.0,N,Gold,0.0,00000XX0000000,0.0,X,X,X
95028,95028,KS,N,61430KS0100002,61430,N,Silver,0,20007,0,0,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
150582,577,AK,N,38344AK0600003,38344,Y,Gold,0,2275,0,1,6,,,,,,,,,,,38344AK0640001,38344.0,Y,Gold,0.0,00000XX0000000,0.0,X,X,X
45977,45977,WV,N,31274WV0330002,31274,N,Silver,0,54107,0,0,0,31274WV0330002,31274.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
135455,135455,NJ,N,91762NJ0070014,91762,N,Catastrophic,0,34009,0,0,0,91762NJ0070014,91762.0,N,Catastrophic,0,91762NJ0070004,91762.0,N,Bronze,0,,,,,,,,,,
199182,49177,MI,Y,35700MI0020004,35700,N,High,0,26001,0,2,2,,,,,,,,,,,35700MI0020029,35700.0,N,High,0.0,00000XX0000000,0.0,X,X,X
133094,133094,SC,Y,89281SC0020006,89281,N,Low,0,45019,0,0,0,89281SC0020006,89281.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
214769,64764,ND,N,89364ND0090002,89364,N,Silver,0,38035,0,0,0,,,,,,,,,,,89364ND0090002,89364.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
35724,35724,ND,Y,27882ND0050001,27882,N,Low,0,38035,0,0,0,27882ND0050001,27882.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
155256,5251,AR,N,75293AR0330001,75293,Y,Gold,0,5077,0,0,0,,,,,,,,,,,75293AR0330001,75293.0,Y,Gold,0.0,00000XX0000000,0.0,X,X,X
186800,36795,KS,N,18558KS0360035,18558,N,Bronze,0,20137,0,1,2,,,,,,,,,,,18558KS0360030,18558.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
171474,21469,GA,N,93332GA0720002,93332,N,Bronze,0,13043,0,0,0,,,,,,,,,,,93332GA0720002,93332.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
77820,77820,TX,Y,47665TX0020003,47665,N,High,0,48503,0,0,0,47665TX0020003,47665.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
57716,57716,MI,Y,35700MI0020006,35700,N,Low,0,26099,0,0,0,35700MI0020006,35700.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
136820,136820,SC,Y,92498SC0010007,92498,N,Low,1,45015,0,2,4,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
109940,109940,UT,Y,71246UT0010002,71246,N,High,1,49051,0,1,2,71246UT0010004,71246.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
12237,12237,PA,Y,15614PA0010002,15614,N,Low,0,42099,0,2,4,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
280265,130260,WI,Y,90028WI0420004,90028,N,High,0,55037,0,1,1,,,,,,,,,,,90028WI0420052,90028.0,N,High,0.0,00000XX0000000,0.0,X,X,X
267790,117785,UT,N,68781UT0030017,68781,N,Silver,0,49029,0,0,0,,,,,,,,,,,68781UT0030017,68781.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
258835,108830,TX,N,33602TX0460160,33602,N,Bronze,0,48471,0,2,1,,,,,,,,,,,33602TX0460006,33602.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
35157,35157,IA,N,27651IA0060005,27651,N,Bronze,0,19089,0,0,0,27651IA0060005,27651.0,N,Bronze,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
232039,82034,OK,Y,87571OK0390003,87571,N,High,1,40015,0,0,0,,,,,,,,,,,87571OK0390003,87571.0,N,High,1.0,00000XX0000000,0.0,X,X,X
177220,27215,IL,N,36096IL0760003,36096,N,Silver,0,17033,0,0,0,,,,,,,,,,,36096IL0760003,36096.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
207231,57226,MT,N,23603MT0150006,23603,N,Bronze,0,30033,0,0,0,,,,,,,,,,,23603MT0150006,23603.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
29209,29209,TX,Y,23891TX0010001,23891,N,Low,1,48297,0,1,2,23891TX0010006,23891.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
253332,103327,TX,Y,00000XX0000000,0,X,X,X,48133,0,4,5,,,,,,,,,,,33348TX0010001,33348.0,N,High,1.0,00000XX0000000,0.0,X,X,X
160740,10735,FL,N,30252FL0020033,30252,N,Silver,0,12011,0,1,2,,,,,,,,,,,30252FL0020035,30252.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
265641,115636,TX,N,91716TX0080002,91716,N,Bronze,0,48209,0,0,0,,,,,,,,,,,91716TX0080002,91716.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
142537,142537,LA,N,97176LA0350004,97176,N,Bronze,0,22029,0,0,0,97176LA0350004,97176.0,N,Bronze,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
205033,55028,MS,Y,00000XX0000000,0,X,X,X,28157,0,4,5,,,,,,,,,,,46300MS0010001,46300.0,N,High,1.0,00000XX0000000,0.0,X,X,X
274097,124092,VA,N,88380VA0880006,88380,Y,Gold,0,51680,0,1,2,,,,,,,,,,,88380VA0880002,88380.0,Y,Gold,0.0,00000XX0000000,0.0,X,X,X
222812,72807,NM,N,75605NM0350004,75605,Y,Silver,0,35061,0,0,0,,,,,,,,,,,75605NM0350004,75605.0,Y,Silver,0.0,00000XX0000000,0.0,X,X,X
35690,35690,ND,Y,27882ND0050001,27882,N,Low,0,38091,0,0,0,27882ND0050001,27882.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
51195,51195,TX,N,33602TX0440002,33602,Y,Gold,0,48139,0,2,6,33602TX0780015,33602.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
240344,90339,SD,N,60536SD0020013,60536,N,Silver,0,46025,0,0,0,,,,,,,,,,,60536SD0020013,60536.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
226816,76811,OH,N,92036OH0530007,92036,N,Silver,0,39077,0,1,1,,,,,,,,,,,92036OH0050027,92036.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
221242,71237,NJ,Y,00000XX0000000,0,X,X,X,34029,0,4,5,,,,,,,,,,,97057NJ0020002,97057.0,N,Low,0.0,00000XX0000000,0.0,X,X,X
252512,102507,TX,Y,24349TX0010006,24349,N,Low,0,48363,0,0,0,,,,,,,,,,,24349TX0010006,24349.0,N,Low,0.0,00000XX0000000,0.0,X,X,X
201350,51345,MO,Y,29416MO0020006,29416,N,Low,0,29051,0,2,0,,,,,,,,,,,29416MO0020006,29416.0,N,Low,0.0,00000XX0000000,0.0,X,X,X
123807,123807,AZ,N,84251AZ0070004,84251,N,Bronze,0,4005,0,2,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
261167,111162,TX,N,40788TX0160001,40788,N,Catastrophic,0,48289,0,0,0,,,,,,,,,,,40788TX0160001,40788.0,N,Catastrophic,0.0,40788TX0170001,40788.0,,Bronze,0
66893,66893,TX,Y,40540TX0060002,40540,N,Low,0,48475,0,0,0,40540TX0060002,40540.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
2802,2802,NC,N,11512NC0060020,11512,N,Silver,0,37055,0,2,0,11512NC0060020,11512.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
100262,100262,KS,Y,63790KS0020005,63790,N,Low,0,20189,0,0,0,63790KS0020005,63790.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
152836,2831,AR,Y,26904AR0020004,26904,N,High,0,5057,0,1,2,,,,,,,,,,,26904AR0020001,26904.0,N,High,1.0,00000XX0000000,0.0,X,X,X
157521,7516,FL,Y,15980FL0160001,15980,N,Low,0,12055,0,0,0,,,,,,,,,,,15980FL0160001,15980.0,N,Low,0.0,00000XX0000000,0.0,X,X,X
141328,141328,NH,N,96751NH0150018,96751,N,Bronze,0,33017,0,0,0,96751NH0150018,96751.0,N,Bronze,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
145315,145315,VA,Y,97927VA0010003,97927,N,High,0,51027,0,5,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
123971,123971,WI,N,84670WI1250008,84670,N,Gold,0,55059,0,2,1,84670WI1250051,84670.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
179905,29900,IL,N,79763IL0690001,79763,N,Gold,0,17175,0,2,6,,,,,,,,,,,79763IL0020001,79763.0,N,Gold,0.0,00000XX0000000,0.0,X,X,X
181243,31238,IN,N,17575IN0700020,17575,N,Bronze,0,18061,0,1,2,,,,,,,,,,,17575IN0700001,17575.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
179767,29762,IL,N,79763IL0670003,79763,N,Bronze,0,17103,0,1,6,,,,,,,,,,,79763IL0010003,79763.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
103277,103277,OH,N,67129OH0100007,67129,N,Gold,0,39089,0,0,0,67129OH0100007,67129.0,N,Gold,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
116452,116452,NM,N,75605NM0390029,75605,N,Bronze,0,35025,0,4,5,00000XX0000000,0.0,X,X,X,00000XX0000000,0.0,X,X,X,,,,,,,,,,
205480,55475,MS,N,48963MS0500011,48963,N,Silver,0,28157,0,2,0,,,,,,,,,,,48963MS0500011,48963.0,N,Silver,0.0,00000XX0000000,0.0,X,X,X
98804,98804,TX,Y,63141TX0760001,63141,N,Low,0,48027,0,0,0,63141TX0760001,63141.0,N,Low,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
279357,129352,WI,N,84670WI1270026,84670,N,Bronze,0,55127,0,2,2,,,,,,,,,,,84670WI1270024,84670.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
37173,37173,GA,Y,28167GA0010004,28167,N,High,0,13117,0,0,0,28167GA0010004,28167.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
243464,93459,TN,N,14002TN0230002,14002,Y,Silver,0,47015,0,0,0,,,,,,,,,,,14002TN0230002,14002.0,Y,Silver,0.0,00000XX0000000,0.0,X,X,X
9456,9456,TN,N,14002TN0350003,14002,N,Platinum,0,47151,0,1,1,14002TN0330069,14002.0,N,Platinum,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
130630,130630,OK,Y,87571OK0390004,87571,N,Low,1,40151,0,0,0,87571OK0390004,87571.0,N,Low,1,87571OK0390002,87571.0,N,Low,0,,,,,,,,,,
61039,61039,ND,N,37160ND2410014,37160,N,Silver,0,38037,0,0,0,37160ND2410014,37160.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
271445,121440,VA,N,00000XX0000000,0,X,X,X,51075,0,2,4,,,,,,,,,,,38234VA0060005,38234.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
41351,41351,NE,N,29678NE1090001,29678,N,Silver,0,31013,0,1,1,29678NE1100006,29678.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
212129,62124,ND,Y,27882ND0010001,27882,N,Low,1,38033,0,0,0,,,,,,,,,,,27882ND0010001,27882.0,N,Low,1.0,00000XX0000000,0.0,X,X,X
174700,24695,IA,N,00000XX0000000,0,X,X,X,19085,0,4,5,,,,,,,,,,,71268IA0060006,71268.0,N,Bronze,0.0,00000XX0000000,0.0,X,X,X
93307,93307,SD,N,60536SD0020024,60536,N,Bronze,0,46061,0,0,0,60536SD0020024,60536.0,N,Bronze,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
30481,30481,TX,Y,24349TX0010004,24349,N,High,0,48317,0,0,0,24349TX0010004,24349.0,N,High,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
96797,96797,AR,N,62141AR0100001,62141,N,Gold,0,5033,0,1,2,62141AR0100007,62141.0,N,Silver,0,00000XX0000000,0.0,X,X,X,,,,,,,,,,
